# Legal initial-final pairs for the Rui'an pinyin syllable dictionary.
# Source basis: Jie Yong Ki / 張永愷, Rui'an dialect reading dictionary tables, pp. 437-439.
# Codes follow ruian_pinyin_scheme.docx: o=o, oe=IPA ɔ, uoe=IPA uɔ, yoe=IPA yɔ.
# Columns: initial<TAB>final<TAB>source
# Empty initial is written as Ø.
n	iae	p437-p439
n	io	p437-p439
n	uo	p437-p439
n	uoe	p437-p439
n	yo	p437-p439
n	yue	p437-p439
n	ang	p437-p439
n	eng	p437-p439
n	ong	p437-p439
n	iang	p437-p439
n	iong	p437-p439
n	ng	p437-p439
l	a	p437-p439
l	o	p437-p439
l	oe	p437-p439
l	ae	p437-p439
l	e	p437-p439
l	i	p437-p439
l	u	p437-p439
l	yu	p437-p439
l	ao	p437-p439
l	ai	p437-p439
l	ou	p437-p439
l	ei	p437-p439
l	ia	p437-p439
l	iao	p437-p439
l	iou	p437-p439
l	ie	p437-p439
l	iae	p437-p439
l	io	p437-p439
l	uo	p437-p439
l	uoe	p437-p439
l	yo	p437-p439
l	yue	p437-p439
l	ang	p437-p439
l	eng	p437-p439
l	ong	p437-p439
l	iang	p437-p439
l	iong	p437-p439
g	a	p437-p439
g	o	p437-p439
g	oe	p437-p439
g	ae	p437-p439
g	e	p437-p439
g	i	p437-p439
g	u	p437-p439
g	ao	p437-p439
g	ai	p437-p439
g	ou	p437-p439
g	ei	p437-p439
g	ia	p437-p439
g	iao	p437-p439
g	iou	p437-p439
g	ie	p437-p439
g	uai	p437-p439
g	uo	p437-p439
g	uoe	p437-p439
g	ang	p437-p439
g	eng	p437-p439
g	ong	p437-p439
k	a	p437-p439
k	o	p437-p439
k	oe	p437-p439
k	ae	p437-p439
k	e	p437-p439
k	i	p437-p439
k	u	p437-p439
k	ao	p437-p439
k	ai	p437-p439
k	ou	p437-p439
k	ei	p437-p439
k	ia	p437-p439
k	iao	p437-p439
k	iou	p437-p439
k	ie	p437-p439
k	uai	p437-p439
k	uo	p437-p439
k	uoe	p437-p439
k	ang	p437-p439
k	eng	p437-p439
k	ong	p437-p439
gg	a	p437-p439
gg	o	p437-p439
gg	oe	p437-p439
gg	ae	p437-p439
gg	e	p437-p439
gg	i	p437-p439
gg	u	p437-p439
gg	ao	p437-p439
gg	ai	p437-p439
gg	ou	p437-p439
gg	ei	p437-p439
gg	ia	p437-p439
gg	iao	p437-p439
gg	iou	p437-p439
gg	ie	p437-p439
gg	uai	p437-p439
gg	uo	p437-p439
gg	uoe	p437-p439
gg	ang	p437-p439
gg	eng	p437-p439
gg	ong	p437-p439
ng	a	p437-p439
ng	o	p437-p439
ng	oe	p437-p439
ng	ae	p437-p439
ng	e	p437-p439
ng	i	p437-p439
ng	u	p437-p439
ng	ao	p437-p439
ng	ai	p437-p439
ng	ou	p437-p439
ng	ei	p437-p439
ng	ia	p437-p439
ng	iao	p437-p439
ng	iou	p437-p439
ng	ie	p437-p439
ng	uai	p437-p439
ng	uo	p437-p439
ng	uoe	p437-p439
ng	ang	p437-p439
ng	eng	p437-p439
ng	ong	p437-p439
h	a	p437-p439
h	o	p437-p439
h	oe	p437-p439
h	ae	p437-p439
h	e	p437-p439
h	i	p437-p439
h	u	p437-p439
h	yu	p437-p439
h	ao	p437-p439
h	ai	p437-p439
h	ou	p437-p439
h	ei	p437-p439
h	ia	p437-p439
h	iao	p437-p439
h	iou	p437-p439
h	ie	p437-p439
h	iae	p437-p439
h	io	p437-p439
h	uai	p437-p439
h	uo	p437-p439
h	uoe	p437-p439
h	yo	p437-p439
h	yue	p437-p439
h	yoe	p437-p439
h	ang	p437-p439
h	eng	p437-p439
h	ong	p437-p439
h	iang	p437-p439
h	iong	p437-p439
h	ng	p437-p439
hh	a	p437-p439
hh	o	p437-p439
hh	oe	p437-p439
hh	ae	p437-p439
hh	e	p437-p439
hh	i	p437-p439
hh	u	p437-p439
hh	yu	p437-p439
hh	ao	p437-p439
hh	ai	p437-p439
hh	ou	p437-p439
