level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	389	505	2446	3869	-1	
3	1	1	1	0	0	389	505	2446	3869	-1	
4	1	1	1	1	0	427	505	2265	225	-1	
5	1	1	1	1	1	427	561	142	69	70.200356	em
5	1	1	1	1	2	601	469	56	165	87.992172	|
5	1	1	1	1	3	691	509	143	70	90.582169	汉字
5	1	1	1	1	4	897	469	32	165	90.582169	|
5	1	1	1	1	5	972	509	143	70	74.059456	拼音
5	1	1	1	1	6	1216	508	559	70	7.512955	adil
5	1	1	1	1	7	2051	505	199	225	0.000000	ba
5	1	1	1	1	8	2396	507	296	73	53.150856	备注
4	1	1	1	2	0	1851	635	329	71	-1	
5	1	1	1	2	1	1851	635	143	71	80.965515	音标
5	1	1	1	2	2	2042	631	26	101	80.965515	|
5	1	1	1	2	3	2112	636	68	70	91.222336	字
4	1	1	1	3	0	389	730	2438	159	-1	
5	1	1	1	3	1	389	650	729	314	11.927803	ewe
5	1	1	1	3	2	1484	650	655	314	5.748734	ff
4	1	1	1	4	0	390	891	2438	157	-1	
5	1	1	1	4	1	390	891	415	157	0.000000	Ts
5	1	1	1	4	2	909	809	184	314	32.102890	Pe
5	1	1	1	4	3	1171	809	210	314	2.944397	[ae
5	1	1	1	4	4	1458	809	184	314	0.000000	efa
5	1	1	1	4	5	1668	809	158	314	24.723404	lel
5	1	1	1	4	6	1903	809	237	314	39.826538	ef
4	1	1	1	5	0	391	1050	2437	158	-1	
5	1	1	1	5	1	391	1050	2437	158	34.412025	CCC
4	1	1	1	6	0	392	1210	2437	158	-1	
5	1	1	1	6	1	392	1210	2437	158	5.117531	一
4	1	1	1	7	0	392	1369	2437	266	-1	
5	1	1	1	7	1	392	1372	222	261	40.942795	|
5	1	1	1	7	2	889	1372	178	262	21.000038	|»
5	1	1	1	7	3	1155	1365	355	354	10.809212	pole
5	1	1	1	7	4	1597	1365	355	354	10.809212	ele)»
5	1	1	1	7	5	2040	1365	89	354	43.217438	|
5	1	1	1	7	6	2305	1365	237	354	19.220490	eee
5	1	1	1	7	7	2630	1365	207	354	14.032738	Ae
4	1	1	1	8	0	393	1634	2437	161	-1	
5	1	1	1	8	1	393	1634	2437	161	28.089462	[foal
5	1	1	1	8	2	2037	1556	184	314	20.150696	fae
4	1	1	1	9	0	394	1796	2437	158	-1	
5	1	1	1	9	1	394	1797	441	157	0.000000	ae
5	1	1	1	9	2	913	1716	210	314	37.189499	[ee
5	1	1	1	9	3	1175	1796	1656	158	27.412384	[aloe
4	1	1	1	10	0	395	1956	2436	159	-1	
5	1	1	1	10	1	395	1958	416	157	1.726242	Pa
5	1	1	1	10	2	916	1875	210	315	23.638336	[eo
5	1	1	1	10	3	1178	1875	362	315	0.000000	[atl
5	1	1	1	10	4	1729	1875	264	315	17.363220	efor
5	1	1	1	10	5	2039	1956	792	159	41.480659	fae
4	1	1	1	11	0	395	2115	2437	158	-1	
5	1	1	1	11	1	395	2035	441	314	0.000000	Tae
5	1	1	1	11	2	888	2035	158	314	41.384460	Pr
5	1	1	1	11	3	920	2115	1912	158	42.143723	[af
5	1	1	1	11	4	2275	2035	550	314	14.766129	|
4	1	1	1	12	0	396	2275	2436	157	-1	
5	1	1	1	12	1	396	2275	2436	157	22.038643	fe
5	1	1	1	12	2	1179	2193	605	315	0.000000	fener
5	1	1	1	12	3	1967	2193	210	315	31.806961	le
4	1	1	1	13	0	396	2434	2437	263	-1	
