level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	375	463	2462	3885	-1	
3	1	1	1	0	0	375	463	2462	3885	-1	
4	1	1	1	1	0	413	463	2272	235	-1	
5	1	1	1	1	1	413	529	142	70	89.399757	笔画
5	1	1	1	1	2	676	477	145	70	95.208534	汉字
5	1	1	1	1	3	886	470	33	101	92.447525	|
5	1	1	1	1	4	959	476	142	71	93.577736	拼音
5	1	1	1	1	5	1204	463	329	235	22.013725	abel
5	1	1	1	1	6	1572	463	448	235	15.004715	allel
5	1	1	1	1	7	2081	463	157	235	29.557076	od
5	1	1	1	1	8	2387	469	298	72	26.198456	备注
4	1	1	1	2	0	1839	600	333	71	-1	
5	1	1	1	2	1	1839	600	144	71	91.924507	音标
5	1	1	1	2	2	2026	596	32	99	85.706146	|
5	1	1	1	2	3	2103	619	69	49	71.609283	F
4	1	1	1	3	0	375	691	2446	167	-1	
5	1	1	1	3	1	375	628	448	285	19.574310	me
5	1	1	1	3	2	893	628	167	285	35.657669	fe
5	1	1	1	3	3	1164	691	1657	164	9.726974	Ss
5	1	1	1	3	4	2033	628	143	285	30.918167	Pe
4	1	1	1	4	0	377	853	2446	166	-1	
5	1	1	1	4	1	377	860	427	159	22.907730	oe
5	1	1	1	4	2	879	785	229	304	32.741890	[ome
5	1	1	1	4	3	1158	785	178	304	24.332893	fon
5	1	1	1	4	4	1411	858	584	157	25.183289	ele
5	1	1	1	4	5	2044	785	153	304	19.757019	foe
4	1	1	1	5	0	379	1174	2447	309	-1	
5	1	1	1	5	1	379	1170	425	396	50.370098	alt
5	1	1	1	5	2	1035	1170	726	396	7.689583	«female
5	1	1	1	5	3	1860	1174	957	303	7.689583	we]
4	1	1	1	6	0	426	1354	135	64	-1	
5	1	1	1	6	1	426	1350	56	90	42.282635	Uy
5	1	1	1	6	2	497	1350	64	90	43.905579	i)
4	1	1	1	7	0	381	1477	2446	169	-1	
5	1	1	1	7	1	381	1477	2446	169	0.000000	[ee
5	1	1	1	7	2	1164	1410	179	305	31.160736	[em
5	1	1	1	7	3	1419	1410	382	305	0.000000	ela
5	1	1	1	7	4	2029	1410	153	305	18.149612	fe
5	1	1	1	7	5	2257	1410	560	305	50.241936	|
4	1	1	1	8	0	383	1639	2446	166	-1	
5	1	1	1	8	1	383	1649	222	156	58.243263	|
5	1	1	1	8	2	855	1647	50	158	60.290131	|
5	1	1	1	8	3	979	1635	107	212	60.290131	se
5	1	1	1	8	4	1191	1635	231	212	28.664711	aa]
