level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	396	505	2441	3887	-1	
3	1	1	1	0	0	396	505	2441	3887	-1	
4	1	1	1	1	0	438	505	2261	232	-1	
5	1	1	1	1	1	438	563	141	70	93.422310	笔画
5	1	1	1	1	2	701	511	144	70	95.771667	汉字
5	1	1	1	1	3	903	506	38	100	94.852303	|
5	1	1	1	1	4	983	512	142	70	90.717232	拼音
5	1	1	1	1	5	1226	512	559	71	32.799942	mye)
5	1	1	1	1	6	1879	505	97	232	37.303299	ae
5	1	1	1	1	7	2034	505	20	232	66.788071	|
5	1	1	1	1	8	2111	505	155	232	41.474045	ae
5	1	1	1	1	9	2404	514	70	71	75.543625	fe
5	1	1	1	1	10	2632	527	67	56	91.893356	注
4	1	1	1	2	0	1860	638	328	71	-1	
5	1	1	1	2	1	1860	638	142	71	76.908043	音标
5	1	1	1	2	2	2049	634	26	100	76.908043	|
5	1	1	1	2	3	2121	660	67	49	89.630943	字
4	1	1	1	3	0	396	734	2438	162	-1	
5	1	1	1	3	1	396	734	224	161	59.615303	|
5	1	1	1	3	2	732	730	90	215	43.395981	me
5	1	1	1	3	3	893	730	55	215	43.188179	|
5	1	1	1	3	4	1001	730	126	215	43.188179	ot
5	1	1	1	3	5	1180	730	234	215	26.897400	[ama]
5	1	1	1	3	6	1502	730	180	215	0.000000	fie
5	1	1	1	3	7	1771	736	45	159	42.150768	|
5	1	1	1	3	8	1897	736	305	160	37.659828	oe
5	1	1	1	3	9	2266	736	563	160	60.353119	|
4	1	1	1	4	0	397	897	2437	162	-1	
5	1	1	1	4	1	393	893	251	215	15.739487	|_|
5	1	1	1	4	2	679	893	144	215	55.361744	seca
5	1	1	1	4	3	912	893	19	215	68.727036	|
5	1	1	1	4	4	1011	893	108	215	57.717812	wm
5	1	1	1	4	5	1181	893	162	215	34.323952	[soa
5	1	1	1	4	6	1396	893	37	215	73.961304	|
5	1	1	1	4	7	1521	898	145	160	12.819489	am
5	1	1	1	4	8	1718	893	91	215	10.092468	ae
5	1	1	1	4	9	1898	893	90	215	31.130226	ie
5	1	1	1	4	10	2041	893	19	215	69.720940	|
5	1	1	1	4	11	2095	893	108	215	40.882095	wee
5	1	1	1	4	12	2266	899	564	160	47.164124	|
4	1	1	1	5	0	397	1061	2437	162	-1	
5	1	1	1	5	1	397	1057	264	214	27.735237	P|
5	1	1	1	5	2	820	1061	101	160	31.596451	|
5	1	1	1	5	3	1177	1057	179	214	25.524529	fame
5	1	1	1	5	4	1445	1057	393	214	27.652328	ete]
5	1	1	1	5	5	1890	1057	91	214	50.737690	te
5	1	1	1	5	6	2033	1057	162	214	21.221550	fe
5	1	1	1	5	7	2266	1063	568	160	34.163635	|
4	1	1	1	6	0	398	1225	2437	162	-1	
5	1	1	1	6	1	398	1225	223	160	62.072304	|
5	1	1	1	6	2	877	1225	44	160	76.615219	|
5	1	1	1	6	3	985	1221	144	215	22.017151	ito
5	1	1	1	6	4	1182	1221	252	215	26.954178	[aes]
5	1	1	1	6	5	1469	1221	233	215	38.246178	els]
5	1	1	1	6	6	1737	1221	109	215	35.593307	ef
5	1	1	1	6	7	1970	1221	216	215	33.477600	foe
5	1	1	1	6	8	2267	1226	564	161	58.690651	|
