level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	366	552	2452	3882	-1	
3	1	1	1	0	0	418	552	2267	227	-1	
4	1	1	1	1	0	418	552	2267	227	-1	
5	1	1	1	1	1	418	601	138	70	91.182663	笔画
5	1	1	1	1	2	680	552	144	69	95.242722	汉字
5	1	1	1	1	3	886	545	39	102	94.919777	|
5	1	1	1	1	4	963	553	143	71	92.488922	拼音
5	1	1	1	1	5	1160	545	26	102	93.140114	|
5	1	1	1	1	6	1209	555	285	69	92.137932	反切
5	1	1	1	1	7	1390	545	20	102	91.794113	|
5	1	1	1	1	8	1447	545	52	102	91.794113	调
5	1	1	1	1	9	1697	554	550	225	9.020676	四
5	1	1	1	1	10	2392	561	68	72	83.899307	备
5	1	1	1	1	11	2618	565	67	68	89.081520	注
4	1	1	1	2	0	1840	683	332	72	-1	
5	1	1	1	2	1	1840	683	144	71	92.070229	音标
5	1	1	1	2	2	2029	679	26	100	91.806664	|
5	1	1	1	2	3	2103	684	69	71	64.082382	+
3	1	1	2	0	0	366	773	2452	3661	-1	
4	1	1	2	1	0	379	773	2438	171	-1	
5	1	1	2	1	1	379	773	430	157	0.000000	Pe
5	1	1	2	1	2	880	704	194	289	16.930756	[ee
5	1	1	2	1	3	1217	704	578	289	0.000000	else
5	1	1	2	1	4	2036	781	146	158	25.664665	fe
4	1	1	2	2	0	378	932	2439	176	-1	
5	1	1	2	2	1	378	932	2439	176	24.890854	COCCI
4	1	1	2	3	0	377	1095	2440	176	-1	
5	1	1	2	3	1	377	1025	685	295	0.000000	[w|i
5	1	1	2	3	2	1159	1025	984	295	0.000000	[enema
5	1	1	2	3	3	2250	1109	557	162	63.947891	|
4	1	1	2	4	0	377	1260	2439	174	-1	
5	1	1	2	4	1	377	1260	423	163	8.287971	Pm
5	1	1	2	4	2	893	1192	191	284	26.560059	Pe
5	1	1	2	4	3	1177	1192	167	284	31.939209	foe
