level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	417	654	2456	3740	-1	
3	1	1	1	0	0	1882	654	333	71	-1	
4	1	1	1	1	0	1882	654	333	71	-1	
5	1	1	1	1	1	1882	654	145	70	88.160774	音标
5	1	1	1	1	2	2076	650	25	99	53.881268	|
5	1	1	1	1	3	2147	655	68	70	33.255798	+
3	1	1	2	0	0	417	751	2456	3511	-1	
4	1	1	2	1	0	417	751	2446	162	-1	
5	1	1	2	1	1	417	752	683	161	18.153694	[a
5	1	1	2	1	2	1231	752	608	159	19.108047	aa
5	1	1	2	1	3	2077	751	106	162	13.485954	fw
5	1	1	2	1	4	2288	668	582	317	36.973969	[ene
4	1	1	2	2	0	418	914	2446	161	-1	
5	1	1	2	2	1	418	915	683	160	42.259941	a
5	1	1	2	2	2	1180	830	635	317	7.511597	fei
5	1	1	2	2	3	2078	830	555	317	17.065903	[Paco
5	1	1	2	2	4	2685	830	186	317	56.652336	a
4	1	1	2	3	0	419	1075	2446	163	-1	
5	1	1	2	3	1	419	1078	419	160	18.380600	Te
5	1	1	2	3	2	916	992	213	317	36.390953	[oe
5	1	1	2	3	3	1207	992	186	317	12.035561	faa
5	1	1	2	3	4	1524	992	424	317	0.000000	fmol
5	1	1	2	3	5	1844	1075	1021	158	20.922256	fo
4	1	1	2	4	0	419	1236	2446	166	-1	
5	1	1	2	4	1	419	1236	2446	166	6.295761	mf
5	1	1	2	4	2	1207	1156	239	317	24.075577	[onl
5	1	1	2	4	3	1498	1156	133	317	25.470543	af
5	1	1	2	4	4	1735	1156	239	317	25.470543	ala
5	1	1	2	4	5	2079	1236	786	166	23.566124	fa
4	1	1	2	5	0	420	1398	2446	168	-1	
5	1	1	2	5	1	420	1320	526	318	0.000000	mlacm]
5	1	1	2	5	2	1025	1320	107	318	29.219635	oo
5	1	1	2	5	3	1210	1398	1656	168	0.000000	[iale|a)
5	1	1	2	5	4	1953	1320	265	318	37.391209	ele
5	1	1	2	5	5	2297	1320	557	318	40.964867	|
4	1	1	2	6	0	421	1561	2446	168	-1	
5	1	1	2	6	1	421	1569	394	160	0.000000	fm
5	1	1	2	6	2	920	1482	239	318	26.307663	foe
5	1	1	2	6	3	1212	1567	360	159	18.774605	fT
5	1	1	2	6	4	1848	1565	186	160	40.657875	ae
5	1	1	2	6	5	2086	1482	160	318	13.285187	fae
4	1	1	2	7	0	422	1725	2446	163	-1	
5	1	1	2	7	1	422	1730	394	158	16.051331	Tm
5	1	1	2	7	2	921	1643	213	318	24.650696	[os
5	1	1	2	7	3	1239	1643	160	318	45.017380	we
5	1	1	2	7	4	1478	1728	345	158	12.193306	ala
5	1	1	2	7	5	1902	1643	106	318	24.994255	ow
4	1	1	2	8	0	423	1887	2445	165	-1	
5	1	1	2	8	1	423	1890	394	162	27.810204	om
5	1	1	2	8	2	975	1806	160	318	34.551422	ee
5	1	1	2	8	3	1214	1890	318	160	17.032913	fe
5	1	1	2	8	4	1638	1890	207	159	17.032913	fe
5	1	1	2	8	5	1929	1806	80	318	41.526447	om
5	1	1	2	8	6	2088	1806	160	318	47.662373	fae
