level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	359	304	2488	4002	-1	
3	1	1	1	0	0	359	304	2443	376	-1	
4	1	1	1	1	0	359	304	2443	376	-1	
5	1	1	1	1	1	359	304	2443	376	40.516376	昌国
5	1	1	1	1	2	992	300	192	510	13.635590	四
5	1	1	1	1	3	1183	300	543	510	26.587517	加
5	1	1	1	1	4	1725	300	543	510	2.730728	中
5	1	1	1	1	5	2267	300	288	510	24.546616	四
5	1	1	1	1	6	2554	300	256	510	14.196327	站
3	1	1	2	0	0	399	420	2268	264	-1	
4	1	1	2	1	0	399	420	2268	264	-1	
5	1	1	2	1	1	399	505	141	70	96.228355	笔画
5	1	1	2	1	2	582	452	38	150	95.439560	|
5	1	1	2	1	3	663	456	145	69	75.990112	汉子
5	1	1	2	1	4	873	452	38	150	85.015587	|
5	1	1	2	1	5	945	456	142	71	18.960579	OE
5	1	1	2	1	6	1188	420	326	264	4.552727	nom)
5	1	1	2	1	7	1558	420	154	264	33.424210	8)
5	1	1	2	1	8	1844	455	374	225	19.491455	a
5	1	1	2	1	9	2370	459	297	72	44.276352	备注
3	1	1	3	0	0	1821	583	331	72	-1	
4	1	1	3	1	0	1821	583	331	72	-1	
5	1	1	3	1	1	1821	583	144	72	88.212662	音标
5	1	1	3	1	2	2008	579	30	93	67.184174	|
5	1	1	3	1	3	2084	586	68	69	75.521439	+
3	1	1	4	0	0	360	677	2487	3031	-1	
4	1	1	4	1	0	360	677	2442	162	-1	
5	1	1	4	1	1	360	673	257	223	41.580475	pf
5	1	1	4	1	2	690	673	94	223	52.130390	me
5	1	1	4	1	3	857	673	354	223	35.607712	fmt
5	1	1	4	1	4	1148	679	1654	160	34.923683	|
5	1	1	4	1	5	2232	673	577	223	23.674133	|
4	1	1	4	2	0	360	835	2442	164	-1	
5	1	1	4	2	1	360	831	259	225	40.549427	||
5	1	1	4	2	2	768	835	115	158	53.945854	|
5	1	1	4	2	3	974	831	95	225	42.879486	wo
5	1	1	4	2	4	1124	831	264	225	20.783722	fate
5	1	1	4	2	5	1499	831	151	225	32.967155	|e]
5	1	1	4	2	6	1687	831	94	225	37.456589	me)
5	1	1	4	2	7	1837	831	188	225	39.407738	ion]
5	1	1	4	2	8	2081	831	75	225	25.008598	oe
5	1	1	4	2	9	2232	841	562	158	45.723305	|
4	1	1	4	3	0	361	995	2441	165	-1	
5	1	1	4	3	1	361	995	2441	165	33.111130	[of
5	1	1	4	3	2	1371	907	494	312	23.558266	[lel]
5	1	1	4	3	3	2021	995	780	165	44.436298	fae
4	1	1	4	4	0	361	1155	2442	165	-1	
5	1	1	4	4	1	361	1070	597	343	12.171402	acl
5	1	1	4	4	2	887	1155	1916	165	0.000000	[wale
5	1	1	4	4	3	2014	1070	144	343	35.449890	[ae
5	1	1	4	4	4	2243	1070	30	343	68.045052	[
4	1	1	4	5	0	361	1315	2441	161	-1	
5	1	1	4	5	1	361	1315	222	157	36.947517	|
5	1	1	4	5	2	705	1311	92	220	52.168106	me
5	1	1	4	5	3	879	1311	42	220	72.958031	|
5	1	1	4	5	4	962	1311	110	220	25.081055	me
5	1	1	4	5	5	1145	1311	166	220	15.733994	[oa
5	1	1	4	5	6	1402	1311	385	220	0.608528	eee]
5	1	1	4	5	7	1842	1311	110	220	42.379208	oe
5	1	1	4	5	8	2007	1311	147	220	51.157104	|e
5	1	1	4	5	9	2233	1321	563	155	36.688698	|
4	1	1	4	6	0	361	1475	2442	162	-1	
5	1	1	4	6	1	361	1384	440	313	21.193817	new
5	1	1	4	6	2	878	1384	288	313	0.000000	[osra|
5	1	1	4	6	3	1217	1477	392	157	3.859879	am
5	1	1	4	6	4	1635	1384	157	313	0.000000	|a[
5	1	1	4	6	5	1869	1478	288	158	28.924286	ee
5	1	1	4	6	6	2234	1384	569	313	27.817329	[om
4	1	1	4	7	0	362	1635	2441	164	-1	
5	1	1	4	7	1	362	1631	255	222	29.580856	P|
5	1	1	4	7	2	691	1631	222	222	35.847794	mf
5	1	1	4	7	3	968	1631	112	222	25.301895	oe
5	1	1	4	7	4	1135	1631	204	222	30.475929	fae
5	1	1	4	7	5	1468	1631	315	222	13.808777	fae]
5	1	1	4	7	6	1838	1631	185	222	25.540733	tome)
5	1	1	4	7	7	2078	1631	56	222	48.829037	mw
5	1	1	4	7	8	2233	1640	567	159	31.770706	|
4	1	1	4	8	0	362	1795	2442	273	-1	
5	1	1	4	8	1	362	1795	2442	273	20.272362	加
4	1	1	4	9	0	362	2066	2442	162	-1	
5	1	1	4	9	1	362	2062	255	222	30.572510	P|
5	1	1	4	9	2	783	2062	278	222	18.996811	fie
5	1	1	4	9	3	1172	2062	222	222	28.130150	et]
5	1	1	4	9	4	1431	2068	56	158	62.879211	A
5	1	1	4	9	5	1579	2068	66	157	46.513218	|
5	1	1	4	9	6	1690	2062	93	222	50.536537	at]
5	1	1	4	9	7	1856	2069	75	157	63.429993	i
5	1	1	4	9	8	1986	2062	37	222	72.737350	|
5	1	1	4	9	9	2060	2062	93	222	45.732117	os
5	1	1	4	9	10	2226	2062	19	222	53.131504	|
5	1	1	4	9	11	2319	2070	481	158	44.877129	a
4	1	1	4	10	0	363	2226	2441	162	-1	
5	1	1	4	10	1	363	2226	221	156	4.277992	|
5	1	1	4	10	2	708	2222	93	221	22.290154	ae
5	1	1	4	10	3	856	2222	38	221	21.416901	|
5	1	1	4	10	4	985	2222	93	221	21.416901	si
5	1	1	4	10	5	1132	2222	19	221	75.323715	|
5	1	1	4	10	6	1206	2222	130	221	26.724136	site
5	1	1	4	10	7	1427	2222	240	221	19.616089	fae)
5	1	1	4	10	8	1721	2229	59	156	1.151115	|
5	1	1	4	10	9	1924	2230	240	157	35.045860	fe
5	1	1	4	10	10	2233	2231	571	157	50.796913	|
4	1	1	4	11	0	363	2385	2441	288	-1	
5	1	1	4	11	1	363	2385	405	284	21.524704	Ts
5	1	1	4	11	2	869	2223	155	613	54.760406	[=
5	1	1	4	11	3	1149	2387	1655	286	44.471245	ls
5	1	1	4	11	4	2249	2223	562	613	19.521698	Pars
4	1	1	4	12	0	363	2672	2440	289	-1	
5	1	1	4	12	1	363	2672	2440	289	9.829178	加
4	1	1	4	13	0	363	2959	2484	161	-1	
5	1	1	4	13	1	363	2959	222	156	52.532364	|
5	1	1	4	13	2	689	2959	97	157	57.108078	和
5	1	1	4	13	3	881	2955	42	220	72.251442	|
5	1	1	4	13	4	982	2955	111	220	49.806931	ot
5	1	1	4	13	5	1147	2955	184	220	23.554749	[erat
5	1	1	4	13	6	1367	2955	19	220	23.554749	|
5	1	1	4	13	7	1532	2961	113	156	19.836586	|
5	1	1	4	13	8	1697	2955	92	220	28.254173	ae]
5	1	1	4	13	9	1917	2962	87	156	49.496845	|
5	1	1	4	13	10	2064	2955	129	220	29.512489	wee
5	1	1	4	13	11	2233	2963	614	157	62.450893	|
4	1	1	4	14	0	363	3118	2440	160	-1	
5	1	1	4	14	1	363	3114	365	221	20.352310	[fic
5	1	1	4	14	2	782	3114	112	221	0.000000	io|
5	1	1	4	14	3	966	3114	112	221	51.636681	tu
5	1	1	4	14	4	1132	3114	19	221	54.356846	|
5	1	1	4	14	5	1206	3114	130	221	30.392639	eee
5	1	1	4	14	6	1376	3114	269	221	15.498596	|||
5	1	1	4	14	7	1721	3121	59	156	34.850395	|
5	1	1	4	14	8	1832	3114	185	221	32.959373	thon]
5	1	1	4	14	9	2071	3114	112	221	55.565495	ae
5	1	1	4	14	10	2237	3122	566	156	63.715088	|
4	1	1	4	15	0	363	3278	2440	160	-1	
5	1	1	4	15	1	363	3274	361	219	27.594490	[tec
5	1	1	4	15	2	778	3274	111	219	44.396229	to]
5	1	1	4	15	3	961	3274	128	219	53.695606	ino
5	1	1	4	15	4	1143	3274	19	219	55.882164	|
5	1	1	4	15	5	1198	3274	129	219	29.109657	teat
5	1	1	4	15	6	1362	3274	38	219	54.287491	|
5	1	1	4	15	7	1417	3274	363	219	7.417221	tae]
5	1	1	4	15	8	1819	3274	183	219	30.075012	tum
5	1	1	4	15	9	2007	3281	796	157	39.835312	|
4	1	1	4	16	0	363	3437	2440	271	-1	
5	1	1	4	16	1	363	3433	459	370	0.000000	aD
5	1	1	4	16	2	944	3433	125	370	41.814537	ae
5	1	1	4	16	3	1160	3433	217	370	45.249916	as]
5	1	1	4	16	4	1469	3439	40	268	64.236328	|
5	1	1	4	16	5	1623	3439	22	268	59.332993	|
5	1	1	4	16	6	1777	3433	309	370	43.658333	[|
5	1	1	4	16	7	2209	3440	20	267	64.664429	|
5	1	1	4	16	8	2301	3433	494	370	23.518951	sane
3	1	1	5	0	0	713	3592	99	69	-1	
