level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	418	343	2449	4016	-1	
3	1	1	1	0	0	418	343	2449	4016	-1	
4	1	1	1	1	0	468	440	404	82	-1	
5	1	1	1	1	1	468	440	142	71	93.051353	部
5	1	1	1	1	2	581	425	72	104	91.182030	首
5	1	1	1	1	3	652	425	46	104	87.766098	|
5	1	1	1	1	4	750	495	1	27	24.194778	，
4	1	1	1	2	0	467	343	1827	373	-1	
5	1	1	1	2	1	467	542	142	69	93.328537	笔画
5	1	1	1	2	2	649	488	36	142	88.926208	|
5	1	1	1	2	3	732	496	142	66	74.550018	汉字
5	1	1	1	2	4	933	488	36	142	86.133911	|
5	1	1	1	2	5	1011	494	141	71	3.100418	OF
5	1	1	1	2	6	1212	343	314	373	52.042175	0
5	1	1	1	2	7	1609	499	67	70	9.418907	前
5	1	1	1	2	8	1746	343	548	186	1.652542	BED
4	1	1	1	3	0	1745	496	987	225	-1	
5	1	1	1	3	1	1745	496	548	225	0.000000	“leelar]
5	1	1	1	3	2	2437	500	69	71	0.000000	*
4	1	1	1	4	0	674	626	1545	255	-1	
5	1	1	1	4	1	674	808	53	23	65.699593	原
5	1	1	1	4	2	951	694	183	187	41.300236	mn
5	1	1	1	4	3	1192	694	48	187	71.576912	|
5	1	1	1	4	4	1274	694	110	187	43.622910	vat
5	1	1	1	4	5	1430	694	142	187	48.722359	||
5	1	1	1	4	6	1617	694	91	187	41.794239	we
5	1	1	1	4	7	1902	626	162	79	54.087486	音标
5	1	1	1	4	8	2072	619	29	90	91.848015	|
5	1	1	1	4	9	2151	628	68	69	65.000061	=
4	1	1	1	5	0	427	722	2440	469	-1	
5	1	1	1	5	1	427	722	1866	469	0.000000	于
5	1	1	1	5	2	2501	724	366	157	35.475845	一
4	1	1	1	6	0	464	1199	1828	348	-1	
5	1	1	1	6	1	464	1199	1828	348	33.078072	Zale
4	1	1	1	7	0	542	1320	1492	254	-1	
5	1	1	1	7	1	542	1510	66	64	95.638611	至
5	1	1	1	7	2	1884	1320	150	50	45.039806	ey
4	1	1	1	8	0	426	1202	2439	528	-1	
5	1	1	1	8	1	426	1458	1280	272	2.375877	Seti
5	1	1	1	8	2	2295	1202	570	262	10.252159	|e
4	1	1	1	9	0	425	1725	1251	301	-1	
5	1	1	1	9	1	425	1715	731	315	6.756439	lee
5	1	1	1	9	2	1261	1774	415	72	0.000000	set
4	1	1	1	10	0	425	1731	2418	454	-1	
5	1	1	1	10	1	425	1731	715	454	0.000000	pete
5	1	1	1	10	2	1593	1735	1250	446	18.278473	ee
4	1	1	1	11	0	424	2035	2438	294	-1	
5	1	1	1	11	1	424	2035	2438	294	10.794785	ee
4	1	1	1	12	0	423	2184	2438	295	-1	
5	1	1	1	12	1	423	2155	546	330	33.116463	af
5	1	1	1	12	2	1051	2331	28	147	11.414536	=
5	1	1	1	12	3	1189	2155	248	330	29.604675	feel
5	1	1	1	12	4	1491	2155	523	330	35.371094	allele
5	1	1	1	12	5	2069	2155	275	330	17.920807	tet
4	1	1	1	13	0	422	2480	2444	459	-1	
5	1	1	1	13	1	422	2628	417	307	30.547318	fa
5	1	1	1	13	2	953	2484	842	298	46.430443	fala
5	1	1	1	13	3	1909	2484	152	148	30.729034	a
5	1	1	1	13	4	2292	2480	574	459	35.710236	ferrin
4	1	1	1	14	0	645	2533	2214	407	-1	
5	1	1	1	14	1	645	2529	377	415	34.972908	af
5	1	1	1	14	2	1194	2529	295	415	8.167107	fala
5	1	1	1	14	3	1601	2673	562	72	8.167107	alam
5	1	1	1	14	4	2301	2529	554	415	28.058289	[oer
4	1	1	1	15	0	421	2680	2429	423	-1	
5	1	1	1	15	1	421	2938	701	159	47.585365	fae
5	1	1	1	15	2	1192	2680	212	423	0.000000	fe
5	1	1	1	15	3	1474	2680	389	423	0.000000	rlalsf
5	1	1	1	15	4	2003	2786	177	158	18.427368	fa
5	1	1	1	15	5	2289	2684	561	262	52.720520	|
4	1	1	1	16	0	421	2944	2437	314	-1	
5	1	1	1	16	1	421	3097	419	158	30.944969	Pe
5	1	1	1	16	2	960	2939	151	362	1.633186	rae
5	1	1	1	16	3	1201	2939	574	362	0.000000	[pawl
5	1	1	1	16	4	1925	2946	303	157	27.118942	ee
4	1	1	1	17	0	420	3099	2063	477	-1	
5	1	1	1	17	1	420	3257	518	315	44.196724	pe
5	1	1	1	17	2	1250	3099	448	477	0.000000	alee
5	1	1	1	17	3	1926	3104	80	157	23.280975	=
5	1	1	1	17	4	2085	3099	120	477	19.465439	fe
5	1	1	1	17	5	2284	3099	199	477	46.703053	fam
4	1	1	1	18	0	419	3260	2055	475	-1	
5	1	1	1	18	1	419	3260	630	475	21.792603	Pp
5	1	1	1	18	2	1206	3260	491	475	0.000000	eels
5	1	1	1	18	3	2156	3260	318	475	33.498543	few
4	1	1	1	19	0	419	3419	2411	475	-1	
5	1	1	1	19	1	419	3419	630	475	11.381363	Pf
5	1	1	1	19	2	1206	3577	159	158	23.885841	ee
5	1	1	1	19	3	1483	3423	1347	314	13.914146	sel
4	1	1	1	20	0	418	3582	2437	471	-1	
5	1	1	1	20	1	418	3735	397	314	43.049599	pe
5	1	1	1	20	2	915	3652	268	401	16.904381	tee
5	1	1	1	20	3	1738	3627	60	69	6.266968	alms
5	1	1	1	20	4	2126	3582	84	158	6.266968	e
5	1	1	1	20	5	2294	3501	28	336	47.175564	|
4	1	1	1	21	0	641	3899	1835	313	-1	
5	1	1	1	21	1	641	3899	1628	313	39.046219	eee
5	1	1	1	21	2	2331	3945	68	72	96.946732	高
5	1	1	1	21	3	2435	3947	41	69	94.186867	大
4	1	1	1	22	0	1833	4059	1020	158	-1	
5	1	1	1	22	1	1833	4059	1020	158	21.280685	cma)
5	1	1	1	22	2	2628	3944	226	328	59.344452	一
4	1	1	1	23	0	2690	4305	106	54	-1	
5	1	1	1	23	1	2690	4305	106	54	96.998184	183
