page	image	txt	tsv	chars	han_chars	word_count	avg_conf	low_conf_words	status	issues
086	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_086.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_086.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_086.tsv	303	13	117	31.83	91	review	low_confidence
087	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_087.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_087.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_087.tsv	360	36	160	39.39	106	review	low_confidence
088	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_088.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_088.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_088.tsv	240	21	91	23.98	77	review	low_confidence
089	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_089.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_089.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_089.tsv	321	10	154	36.08	101	review	low_confidence
090	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_090.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_090.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_090.tsv	271	22	124	42.86	78	review	low_confidence
091	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_091.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_091.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_091.tsv	320	3	147	39.32	97	review	low_confidence
092	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_092.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_092.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_092.tsv	279	15	125	33.18	88	review	low_confidence
093	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_093.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_093.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_093.tsv	125	28	61	38.63	42	review	low_confidence
094	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_094.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_094.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_094.tsv	357	12	163	41.78	93	review	low_confidence
095	D:\瑞安文化研究\Ruianese\張永愷書之圖\瑞安方言读音字典 (张永恺) (Z-Library)_2_页面_095.png	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_095.txt	D:\瑞安文化研究\Ruianese\Ruianese_upload\Ruianese_Tying_Method\output\jie_yong_ki\book_ocr\page_095.tsv	380	16	175	40.06	104	review	low_confidence
