level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	362	708	2375	3657	-1	
3	1	1	1	0	0	362	708	2375	3657	-1	
4	1	1	1	1	0	475	708	2261	84	-1	
5	1	1	1	1	1	475	708	45	84	90.608765	al
5	1	1	1	1	2	541	712	42	72	75.500618	ze
5	1	1	1	1	3	604	713	20	72	93.844505	|
5	1	1	1	1	4	828	718	156	68	96.502289	yang
5	1	1	1	1	5	1016	719	156	68	96.290550	yang
5	1	1	1	1	6	1210	719	157	69	95.896179	yang
5	1	1	1	1	7	1405	720	155	68	94.828575	yang
5	1	1	1	1	8	1597	714	157	75	93.253380	yang
5	1	1	1	1	9	1796	716	155	73	88.398613	liang
5	1	1	1	1	10	1993	717	155	73	77.759277	lidng
5	1	1	1	1	11	2191	717	154	73	59.266739	lidng
5	1	1	1	1	12	2388	718	154	73	87.422646	lidng
5	1	1	1	1	13	2583	719	153	73	83.571686	lidng
4	1	1	1	2	0	870	799	1817	74	-1	
5	1	1	1	2	1	870	800	65	66	61.279892	R
5	1	1	1	2	2	1056	799	69	70	51.313599	RR
5	1	1	1	2	3	1249	800	70	70	0.000000	RF
5	1	1	1	2	4	1637	801	69	70	26.198814	 F
5	1	1	1	2	5	1842	802	58	69	88.150375	B
5	1	1	1	2	6	2030	802	68	71	44.294662	HR
5	1	1	1	2	7	2226	803	69	69	58.194496	BF
5	1	1	1	2	8	2424	804	68	69	84.224655	R
5	1	1	1	2	9	2619	806	68	67	68.177315	量
4	1	1	1	3	0	833	915	1904	79	-1	
5	1	1	1	3	1	833	915	154	74	89.472748	liang
5	1	1	1	3	2	1023	915	154	75	88.598091	liang
5	1	1	1	3	3	1216	915	155	75	91.677971	liang
5	1	1	1	3	4	1412	916	153	75	66.638298	lidng
5	1	1	1	3	5	1605	917	154	76	80.087906	lidng
5	1	1	1	3	6	1801	918	155	75	65.331253	liang
5	1	1	1	3	7	1997	918	155	75	89.087997	liang
5	1	1	1	3	8	2188	923	160	70	91.859573	jiang
5	1	1	1	3	9	2384	923	159	70	92.512192	jiang
5	1	1	1	3	10	2579	925	158	69	89.951874	jiang
4	1	1	1	4	0	868	1001	1820	76	-1	
5	1	1	1	4	1	868	1002	71	68	37.265602	x
5	1	1	1	4	2	1058	1001	71	72	86.374664	俩
5	1	1	1	4	3	1295	1005	27	66	88.462334	两
5	1	1	1	4	4	1482	1003	34	72	91.045387	辆
5	1	1	1	4	5	1676	1007	34	67	91.069557	量
5	1	1	1	4	6	1876	1006	28	71	87.751678	亮
5	1	1	1	4	7	2032	1006	72	70	27.941544	mR
5	1	1	1	4	8	2229	1005	69	72	22.857132	H#
5	1	1	1	4	9	2425	1006	70	71	38.791641	fF
5	1	1	1	4	10	2617	1009	71	66	50.521088	#B
4	1	1	1	5	0	828	1119	1908	79	-1	
5	1	1	1	5	1	828	1122	159	70	91.374840	jiang
5	1	1	1	5	2	1033	1119	160	74	92.433121	jiang
5	1	1	1	5	3	1245	1120	159	74	74.382774	jiang
5	1	1	1	5	4	1457	1120	157	75	65.261337	jiadng
5	1	1	1	5	5	1667	1127	191	69	95.890938	zhang
5	1	1	1	5	6	1912	1122	191	74	58.316364	zhang
5	1	1	1	5	7	2156	1123	159	74	85.305183	jidng
5	1	1	1	5	8	2368	1124	159	74	27.987671	jidng
5	1	1	1	5	9	2578	1124	158	74	83.117981	jiang
4	1	1	1	6	0	828	1320	1908	79	-1	
5	1	1	1	6	1	828	1320	191	74	96.553329	zhang
5	1	1	1	6	2	1071	1320	192	74	96.553329	zhang
5	1	1	1	6	3	1322	1322	189	73	96.260681	zhang
5	1	1	1	6	4	1569	1321	191	74	96.299591	zhang
5	1	1	1	6	5	1819	1322	191	74	76.329971	zhang
5	1	1	1	6	6	2069	1323	191	73	92.832008	zhang
5	1	1	1	6	7	2318	1330	181	67	90.166008	qiang
5	1	1	1	6	8	2556	1330	180	69	89.725334	qiang
4	1	1	1	7	0	884	1403	1792	95	-1	
5	1	1	1	7	1	884	1407	71	68	91.197433	涨
5	1	1	1	7	2	1127	1403	71	94	38.135300	ihe
5	1	1	1	7	3	1373	1404	74	94	53.866005	Ak
5	1	1	1	7	4	1625	1408	70	68	92.585968	账
5	1	1	1	7	5	1879	1407	67	72	92.926331	障
5	1	1	1	7	6	2125	1410	71	68	90.999542	涨
5	1	1	1	7	7	2371	1410	305	69	33.204071	ZOE
4	1	1	1	8	0	827	1523	1909	77	-1	
5	1	1	1	8	1	827	1527	182	69	89.993797	qiang
5	1	1	1	8	2	1058	1527	196	70	96.836517	chang
5	1	1	1	8	3	1308	1528	194	69	96.753876	chang
5	1	1	1	8	4	1556	1528	195	70	93.198143	chang
5	1	1	1	8	5	1806	1523	181	75	80.801147	qiang
