level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	409	606	2445	3753	-1	
3	1	1	1	0	0	409	606	2445	3753	-1	
4	1	1	1	1	0	1875	606	332	72	-1	
5	1	1	1	1	1	1875	606	143	71	93.460754	音标
5	1	1	1	1	2	2063	602	34	106	92.919991	|
5	1	1	1	1	3	2139	608	68	70	90.872559	字
4	1	1	1	2	0	409	704	2443	159	-1	
5	1	1	1	2	1	409	704	2443	159	43.461258	Feo
5	1	1	1	2	2	1235	622	166	332	36.447140	aa
5	1	1	1	2	3	1484	622	360	332	38.784161	eff
5	1	1	1	2	4	2065	704	775	159	29.985138	[ef
4	1	1	1	3	0	409	864	2443	159	-1	
5	1	1	1	3	1	409	864	2443	159	33.268707	[fore
5	1	1	1	3	2	1345	783	388	332	25.988205	fi
5	1	1	1	3	3	1926	783	84	332	23.294991	ne
5	1	1	1	3	4	2065	783	166	332	23.526299	[ee
5	1	1	1	3	5	2314	783	540	332	1.401947	ED
4	1	1	1	4	0	410	1024	2442	159	-1	
5	1	1	1	4	1	410	1024	2442	159	0.000000	peewee)
5	1	1	1	4	2	1402	943	443	332	32.040184	TT
4	1	1	1	5	0	410	1185	2443	158	-1	
5	1	1	1	5	1	410	1185	716	158	16.518745	Pe
5	1	1	1	5	2	1623	1186	1218	156	41.694256	fe
4	1	1	1	6	0	410	1345	2442	157	-1	
5	1	1	1	6	1	410	1261	633	332	17.621918	ef
5	1	1	1	6	2	1263	1346	720	156	34.753838	rw
5	1	1	1	6	3	2066	1261	166	332	48.115013	[we
5	1	1	1	6	4	2287	1346	554	154	36.138184	|
4	1	1	1	7	0	410	1504	2443	158	-1	
5	1	1	1	7	1	410	1505	411	156	24.388916	fe
5	1	1	1	7	2	931	1421	167	332	16.895981	[x
5	1	1	1	7	3	1208	1421	250	332	37.429932	al
5	1	1	1	7	4	1485	1421	111	332	36.159096	el
5	1	1	1	7	5	1623	1421	84	332	30.755775	el
5	1	1	1	7	6	1761	1421	444	332	7.030838	aloe
5	1	1	1	7	7	2287	1421	554	332	37.447548	[mn
4	1	1	1	8	0	410	1664	2443	159	-1	
5	1	1	1	8	1	410	1664	2443	159	8.825058	下
4	1	1	1	9	0	410	1824	2443	159	-1	
5	1	1	1	9	1	410	1826	121	157	59.945816	了
5	1	1	1	9	2	635	1824	2218	159	44.076874	了
4	1	1	1	10	0	411	1982	2442	162	-1	
5	1	1	1	10	1	411	1902	411	332	15.023308	[oe
5	1	1	1	10	2	932	1902	195	332	33.490379	[oe
5	1	1	1	10	3	1199	1982	1654	162	0.000000	foal
5	1	1	1	10	4	1928	1902	84	332	28.468788	oe
5	1	1	1	10	5	2067	1982	775	162	15.936951	[fe
4	1	1	1	11	0	411	2143	2442	161	-1	
5	1	1	1	11	1	411	2143	2442	161	20.192787	Fo
5	1	1	1	11	2	1181	2063	250	332	16.042038	Trl
5	1	1	1	11	3	1513	2063	388	332	30.664284	fa
5	1	1	1	11	4	2067	2063	139	332	49.070549	[ar
5	1	1	1	11	5	2288	2063	554	332	33.606270	[a
4	1	1	1	12	0	411	2305	2442	160	-1	
5	1	1	1	12	1	411	2305	2442	160	15.175613	下
4	1	1	1	13	0	412	2466	2442	159	-1	
5	1	1	1	13	1	412	2467	439	158	26.787857	pe
5	1	1	1	13	2	933	2384	305	332	13.418365	fol
5	1	1	1	13	3	1376	2384	222	332	34.832642	TT
5	1	1	1	13	4	1680	2467	17	156	33.312645	|
5	1	1	1	13	5	1819	2466	166	157	31.253098	fs
5	1	1	1	13	6	2068	2384	166	332	9.000290	fa
4	1	1	1	14	0	412	2625	2441	159	-1	
5	1	1	1	14	1	412	2628	439	156	28.897278	se
5	1	1	1	14	2	933	2543	29	332	56.186684	|
5	1	1	1	14	3	1044	2543	84	332	44.466087	oe
5	1	1	1	14	4	1293	2626	268	156	45.075077	|
5	1	1	1	14	5	1763	2626	222	156	42.661167	ww
5	1	1	1	14	6	2068	2543	111	332	52.387650	[a
5	1	1	1	14	7	2289	2543	56	332	61.440960	[
4	1	1	1	15	0	412	2784	2442	161	-1	
5	1	1	1	15	1	412	2787	439	158	46.609116	fe
5	1	1	1	15	2	933	2703	167	332	14.956200	|e
5	1	1	1	15	3	1182	2703	379	332	29.237518	Yo
5	1	1	1	15	4	2068	2703	166	332	47.010838	[ae
5	1	1	1	15	5	2289	2703	56	332	75.224854	[
4	1	1	1	16	0	412	2942	2442	163	-1	
5	1	1	1	16	1	412	2947	439	158	7.191727	ps
5	1	1	1	16	2	933	2863	167	332	23.205353	fs
5	1	1	1	16	3	1182	2942	1672	163	0.000000	Tealaelel
5	1	1	1	16	4	1929	2863	56	332	19.568932	s
5	1	1	1	16	5	2068	2863	139	332	33.703659	fe
5	1	1	1	16	6	2289	2863	554	332	4.033463	|
4	1	1	1	17	0	413	3105	2441	160	-1	
5	1	1	1	17	1	413	3023	439	332	25.837547	[ae
5	1	1	1	17	2	934	3023	167	332	16.761887	[oe
5	1	1	1	17	3	1183	3023	250	332	34.209564	[awl
5	1	1	1	17	4	1488	3106	344	156	33.914452	ee
5	1	1	1	17	5	2069	3106	111	156	11.381317	[a
5	1	1	1	17	6	2290	3023	554	332	29.613564	[wa
4	1	1	1	18	0	413	3265	2440	160	-1	
5	1	1	1	18	1	413	3269	467	156	0.000000	fe
5	1	1	1	18	2	1017	3183	139	332	62.462376	an
5	1	1	1	18	3	1211	3183	443	332	35.163528	[TT
5	1	1	1	18	4	1701	3265	1152	160	0.000000	Pose
4	1	1	1	19	0	413	3424	2440	186	-1	
5	1	1	1	19	1	413	3329	494	332	19.616867	ce
