level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	352	519	2497	3868	-1	
3	1	1	1	0	0	352	519	2497	3868	-1	
4	1	1	1	1	0	435	519	2271	231	-1	
5	1	1	1	1	1	435	578	142	69	88.785912	笔画
5	1	1	1	1	2	698	526	144	70	95.791466	汉字
5	1	1	1	1	3	902	519	39	101	94.938416	|
5	1	1	1	1	4	981	525	142	71	80.472717	拼音
5	1	1	1	1	5	1226	527	143	68	44.352921	|
5	1	1	1	1	6	1876	519	155	231	38.568718	ae
5	1	1	1	1	7	2107	519	155	231	38.606789	ee
5	1	1	1	1	8	2411	524	70	72	83.615379	备
5	1	1	1	1	9	2639	536	67	57	90.795471	注
4	1	1	1	2	0	1860	652	333	71	-1	
5	1	1	1	2	1	1860	652	145	71	88.875244	音标
5	1	1	1	2	2	2054	648	25	99	66.840668	|
5	1	1	1	2	3	2125	653	68	70	82.760406	F
4	1	1	1	3	0	397	747	2446	159	-1	
5	1	1	1	3	1	397	749	222	157	52.034382	|
5	1	1	1	3	2	723	743	106	209	39.923965	me
5	1	1	1	3	3	880	743	228	209	35.339653	|e
5	1	1	1	3	4	1176	743	210	209	24.611992	foe
5	1	1	1	3	5	1438	743	379	209	3.834343	else]
5	1	1	1	3	6	1890	743	106	209	62.267349	oo
5	1	1	1	3	7	2030	743	35	209	67.681862	|
5	1	1	1	3	8	2117	743	70	209	27.809769	oe
5	1	1	1	3	9	2272	747	571	159	47.371960	|
4	1	1	1	4	0	398	908	2446	301	-1	
5	1	1	1	4	1	398	908	2446	301	0.000000	Secoco
5	1	1	1	4	2	2347	767	465	558	19.821404	a
4	1	1	1	5	0	399	1209	2445	161	-1	
5	1	1	1	5	1	399	1209	2445	161	11.991768	fae
5	1	1	1	5	2	1181	1135	335	286	0.000000	[ome
5	1	1	1	5	3	1539	1135	358	286	0.000000	lala
5	1	1	1	5	4	2063	1135	120	286	0.000000	lw
5	1	1	1	5	5	2277	1135	192	286	0.000000	[em
