level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	404	334	2452	4022	-1	
3	1	1	1	0	0	404	334	2452	4022	-1	
4	1	1	1	1	0	413	334	2443	382	-1	
5	1	1	1	1	1	413	334	2443	382	39.543018	昌国
5	1	1	1	1	2	1041	330	317	460	22.469093	局
5	1	1	1	1	3	1875	330	461	460	12.738998	站
5	1	1	1	1	4	2335	330	202	460	17.532318	四
5	1	1	1	1	5	2536	330	317	460	4.791832	和
4	1	1	1	2	0	452	488	2270	118	-1	
5	1	1	1	2	1	452	537	142	69	73.472031	笔画
5	1	1	1	2	2	631	447	42	163	76.646996	|
5	1	1	1	2	3	715	488	145	69	94.746506	汉字
5	1	1	1	2	4	916	447	42	163	93.656036	|
5	1	1	1	2	5	999	489	142	70	90.926346	拼音
5	1	1	1	2	6	1243	491	287	69	34.678719	|)
5	1	1	1	2	7	2428	495	294	71	51.212219	备注
4	1	1	1	3	0	1876	621	333	70	-1	
5	1	1	1	3	1	1876	621	145	70	84.264618	音标
5	1	1	1	3	2	2067	617	24	92	68.775345	|
5	1	1	1	3	3	2141	621	68	69	79.059753	字
4	1	1	1	4	0	412	709	2444	166	-1	
5	1	1	1	4	1	412	709	172	156	41.070168	天
5	1	1	1	4	2	583	705	102	201	17.941391	|
5	1	1	1	4	3	709	705	118	201	60.324936	om
5	1	1	1	4	4	923	705	51	201	83.279091	|
5	1	1	1	4	5	1027	705	118	201	43.111767	ot
5	1	1	1	4	6	1186	705	77	201	73.576416	|
5	1	1	1	4	7	1262	713	101	156	76.333282	神
5	1	1	1	4	8	1362	705	51	201	54.924812	至
5	1	1	1	4	9	1429	715	72	155	93.184456	|
5	1	1	1	4	10	1500	705	127	201	80.472168	去
5	1	1	1	4	11	1626	716	72	155	89.633865	至
5	1	1	1	4	12	1702	717	76	155	87.182831	|
5	1	1	1	4	13	1777	705	101	201	60.020264	神
5	1	1	1	4	14	1877	718	102	155	14.901360	a
5	1	1	1	4	15	2053	705	51	201	80.864563	|
5	1	1	1	4	16	2103	718	114	156	92.425247	和
5	1	1	1	4	17	2217	705	139	201	39.480843	|
4	1	1	1	5	0	411	868	2444	150	-1	
5	1	1	1	5	1	411	800	532	257	25.438217	iw)
5	1	1	1	5	2	1006	800	173	257	44.104195	win
5	1	1	1	5	3	1242	800	151	257	39.072937	war
5	1	1	1	5	4	1456	800	237	257	0.000000	eae
5	1	1	1	5	5	1756	875	215	140	0.000000	eo
5	1	1	1	5	6	2056	800	22	257	68.254349	|
5	1	1	1	5	7	2120	800	87	257	34.379562	oe
5	1	1	1	5	8	2291	800	344	257	13.679626	[ame
5	1	1	1	5	9	2698	800	151	257	30.901421	ow
4	1	1	1	6	0	411	1011	2444	149	-1	
5	1	1	1	6	1	411	1011	2444	149	21.570732	ocd
4	1	1	1	7	0	411	1153	2444	149	-1	
5	1	1	1	7	1	411	1085	403	257	0.000000	fom
5	1	1	1	7	2	899	1085	44	257	57.422695	|
5	1	1	1	7	3	1006	1085	130	257	28.439865	oe
5	1	1	1	7	4	1199	1085	194	257	48.811680	[min
5	1	1	1	7	5	1435	1085	129	257	20.271118	fe]
5	1	1	1	7	6	1649	1157	48	140	34.835808	|
5	1	1	1	7	7	1863	1085	194	257	36.928261	ome]
5	1	1	1	7	8	2120	1085	108	257	0.000000	we
5	1	1	1	7	9	2291	1085	365	257	12.663155	Smee
5	1	1	1	7	10	2720	1085	129	257	51.480484	OD
4	1	1	1	8	0	410	1296	2444	149	-1	
5	1	1	1	8	1	410	1296	2444	149	3.466309	ee
5	1	1	1	8	2	1174	1230	491	256	0.000000	frfale
5	1	1	1	8	3	1686	1230	235	256	0.000000	lal
5	1	1	1	8	4	2070	1230	150	256	25.384850	fe
4	1	1	1	9	0	410	1439	2444	148	-1	
5	1	1	1	9	1	410	1439	2444	148	26.113579	Eee
5	1	1	1	9	2	1691	1373	407	257	30.106430	Ces
4	1	1	1	10	0	410	1583	2444	148	-1	
5	1	1	1	10	1	410	1583	468	140	2.698517	a
5	1	1	1	10	2	1385	1584	306	143	57.629486	|
5	1	1	1	10	3	1700	1588	297	140	29.626396	有
5	1	1	1	10	4	2059	1589	222	140	47.876678	|
5	1	1	1	10	5	2301	1589	354	142	6.980133	而
5	1	1	1	10	6	2654	1515	194	257	0.000000	一
4	1	1	1	11	0	410	1725	2443	270	-1	
