level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	379	637	2444	3738	-1	
3	1	1	1	0	0	379	637	2444	3738	-1	
4	1	1	1	1	0	1841	637	332	71	-1	
5	1	1	1	1	1	1841	637	144	71	83.838440	音标
5	1	1	1	1	2	2035	633	25	99	77.645714	|
5	1	1	1	1	3	2105	638	68	70	90.467201	字
4	1	1	1	2	0	379	731	2440	163	-1	
5	1	1	1	2	1	375	727	264	211	0.000000	suai]
5	1	1	1	2	2	779	732	317	157	52.564106	|e
5	1	1	1	2	3	1148	727	36	211	49.322273	|
5	1	1	1	2	4	1218	727	177	211	32.799362	wees)
5	1	1	1	2	5	1447	727	89	211	17.365707	A]
5	1	1	1	2	6	1570	727	230	211	36.343632	mat)
5	1	1	1	2	7	1834	727	212	211	27.719070	thi]
5	1	1	1	2	8	2098	727	89	211	47.183609	we
5	1	1	1	2	9	2256	736	563	158	56.140270	|
4	1	1	1	3	0	379	891	2440	163	-1	
5	1	1	1	3	1	375	887	284	213	1.560913	po]
5	1	1	1	3	2	730	887	71	213	39.750145	me
5	1	1	1	3	3	889	887	338	213	12.321396	Pe}
5	1	1	1	3	4	1351	893	143	158	4.320305	|
5	1	1	1	3	5	1635	894	27	158	49.053341	|
5	1	1	1	3	6	1666	891	1153	163	23.694885	pele]
4	1	1	1	4	0	379	1051	2440	164	-1	
5	1	1	1	4	1	379	1051	220	158	67.830391	|
5	1	1	1	4	2	874	1052	26	159	41.366112	|
5	1	1	1	4	3	981	1047	108	214	30.744019	esi
5	1	1	1	4	4	1159	1047	215	214	13.710815	fm
5	1	1	1	4	5	1444	1047	108	214	51.353230	te]
5	1	1	1	4	6	1569	1047	108	214	31.431274	me)
5	1	1	1	4	7	1712	1047	108	214	42.652569	at]
5	1	1	1	4	8	1855	1047	143	214	23.493790	ie
5	1	1	1	4	9	2015	1047	162	214	45.972614	fe
5	1	1	1	4	10	2253	1057	566	157	52.641266	|
4	1	1	1	5	0	379	1212	2440	164	-1	
5	1	1	1	5	1	379	1208	424	214	15.893669	pie
5	1	1	1	5	2	892	1208	197	214	47.717476	ts
5	1	1	1	5	3	1159	1208	72	214	32.399986	|
5	1	1	1	5	4	1284	1216	340	158	11.942482	oT]
5	1	1	1	5	5	1783	1208	465	214	27.784042	jefe
4	1	1	1	6	0	379	1374	2440	161	-1	
5	1	1	1	6	1	379	1370	259	210	7.953568	||
5	1	1	1	6	2	795	1375	280	157	34.460403	|e
5	1	1	1	6	3	1145	1374	1674	161	6.943970	[wells
5	1	1	1	6	4	1862	1370	88	210	38.122292	om
5	1	1	1	6	5	2020	1370	88	210	25.998886	|
5	1	1	1	6	6	2247	1370	578	210	33.143044	|
4	1	1	1	7	0	379	1534	2440	162	-1	
5	1	1	1	7	1	379	1530	524	211	41.627388	fica)
5	1	1	1	7	2	981	1530	133	211	51.197899	qao
5	1	1	1	7	3	1148	1530	36	211	59.978886	|
5	1	1	1	7	4	1236	1530	142	211	50.666538	eat
5	1	1	1	7	5	1482	1536	45	157	69.650558	|
5	1	1	1	7	6	1605	1536	142	157	43.355804	|
5	1	1	1	7	7	1851	1530	195	211	41.961449	tobi]
5	1	1	1	7	8	2098	1530	106	211	35.667625	ee
5	1	1	1	7	9	2256	1537	563	159	69.082939	|
4	1	1	1	8	0	379	1695	2440	163	-1	
5	1	1	1	8	1	379	1695	220	158	48.177391	|
