level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	449	356	2315	4012	-1	
3	1	1	1	0	0	449	356	2169	1334	-1	
4	1	1	1	1	0	549	356	2069	88	-1	
5	1	1	1	1	1	549	372	96	61	93.802475	16.
5	1	1	1	1	2	720	362	151	82	95.984764	瑞安
5	1	1	1	1	3	909	361	173	83	93.123367	方言
5	1	1	1	1	4	1098	361	37	83	88.867859	读
5	1	1	1	1	5	1186	359	151	85	56.129536	hLxj
5	1	1	1	1	6	1375	360	102	82	90.091370	声
5	1	1	1	1	7	1476	352	62	108	93.000771	母
5	1	1	1	1	8	1533	358	462	84	93.184135	,普通
5	1	1	1	1	9	1773	352	89	108	57.638569	话
5	1	1	1	1	10	1861	352	95	108	93.116440	分
5	1	1	1	1	11	1955	352	69	108	68.051559	读
5	1	1	1	1	12	2024	356	417	85	68.051559	hLxj、xLej
5	1	1	1	1	13	2475	357	55	82	19.616013	声
5	1	1	1	1	14	2563	360	55	77	92.633774	母
4	1	1	1	2	0	449	854	1615	93	-1	
5	1	1	1	2	1	449	857	64	90	34.726860	re
5	1	1	1	2	2	535	857	60	90	51.529205	tie
5	1	1	1	2	3	1083	858	118	71	78.298370	choL
5	1	1	1	2	4	1223	854	50	86	76.174042	xo
5	1	1	1	2	5	1301	858	22	71	62.679688	]
5	1	1	1	2	6	1654	852	209	85	0.000000	huang[
5	1	1	1	2	7	1890	852	129	85	76.513077	xuan
5	1	1	1	2	8	2046	856	18	71	89.182022	|
4	1	1	1	3	0	452	1043	1420	75	-1	
5	1	1	1	3	1	452	1049	66	69	92.921860	哈
5	1	1	1	3	2	1084	1044	130	71	10.176407	chal
5	1	1	1	3	3	1224	1045	101	71	26.766800	xa
5	1	1	1	3	4	1655	1043	217	71	24.016083	halL
5	1	1	1	3	5	1773	1035	59	85	24.551521	xa
5	1	1	1	3	6	1842	1035	29	85	70.952263	|
4	1	1	1	4	0	450	1232	1501	89	-1	
5	1	1	1	4	1	450	1237	73	84	42.736019	ML
5	1	1	1	4	2	1090	1238	86	58	82.405731	he’
5	1	1	1	4	3	1198	1233	22	74	88.190903	|
5	1	1	1	4	4	1234	1229	51	82	81.799469	xa
5	1	1	1	4	5	1311	1233	20	73	81.799469	|
5	1	1	1	4	6	1656	1227	131	81	29.766197	han[
5	1	1	1	4	7	1807	1227	88	81	94.830795	xan
5	1	1	1	4	8	1922	1232	29	71	89.139130	|
4	1	1	1	5	0	451	1420	1534	85	-1	
5	1	1	1	5	1	451	1424	71	81	56.269169	x:
5	1	1	1	5	2	1091	1424	93	74	58.749985	hdl
5	1	1	1	5	3	1206	1420	47	83	75.755424	xo
5	1	1	1	5	4	1280	1424	21	73	89.187378	|
5	1	1	1	5	5	1657	1417	149	83	47.124886	xidol
5	1	1	1	5	6	1825	1417	105	83	23.103905	¢iau
5	1	1	1	5	7	1957	1422	28	71	85.485481	|
4	1	1	1	6	0	449	1613	1459	83	-1	
5	1	1	1	6	1	449	1615	74	81	7.143387	Lo
5	1	1	1	6	2	1087	1614	123	71	91.530380	chol
5	1	1	1	6	3	1234	1640	57	35	92.290749	xo
5	1	1	1	6	4	1301	1614	28	71	92.215950	|
5	1	1	1	6	5	1658	1607	104	81	58.153004	xid[
5	1	1	1	6	6	1789	1613	75	71	73.528732	gia
5	1	1	1	6	7	1883	1613	25	71	93.146072	|
3	1	1	2	0	0	457	2371	2238	1354	-1	
4	1	1	2	1	0	558	2371	2137	119	-1	
5	1	1	2	1	1	558	2386	97	61	83.762894	17.
5	1	1	2	1	2	736	2377	144	82	96.442299	瑞安
5	1	1	2	1	3	919	2376	137	83	92.816490	方言
5	1	1	2	1	4	1101	2376	73	83	92.428581	读
5	1	1	2	1	5	1173	2378	58	78	92.062416	浊
5	1	1	2	1	6	1268	2375	112	82	90.064133	声
5	1	1	2	1	7	1416	2379	27	111	92.682571	母
5	1	1	2	1	8	1443	2367	151	127	65.860901	hL6j]
5	1	1	2	1	9	1609	2374	199	83	84.661873	,普通
5	1	1	2	1	10	1847	2375	51	80	92.586304	话
5	1	1	2	1	11	1943	2374	76	82	93.038986	分
5	1	1	2	1	12	2030	2374	42	82	71.895195	读
5	1	1	2	1	13	2102	2372	453	85	37.234440	hLxj、xLej]
5	1	1	2	1	14	2554	2371	53	83	86.440414	声
5	1	1	2	1	15	2641	2374	54	77	92.515091	母
4	1	1	2	2	0	457	2865	2070	108	-1	
5	1	1	2	2	1	457	2876	70	69	92.967308	杭
5	1	1	2	2	2	551	2875	80	71	92.196800	航
5	1	1	2	2	3	630	2879	46	66	92.650299	行
5	1	1	2	2	4	1016	2873	122	100	79.496223	cho[
5	1	1	2	2	5	1161	2871	98	73	65.694885	fo]
5	1	1	2	2	6	1513	2872	153	74	19.648788	hang
5	1	1	2	2	7	1715	2865	131	99	66.871109	xan]
5	1	1	2	2	8	2071	2870	98	99	73.380966	‘ho
5	1	1	2	2	9	2189	2871	71	69	82.668266	厦
5	1	1	2	2	10	2291	2861	112	112	25.565659	shal
5	1	1	2	2	11	2431	2869	94	73	27.587646	sa]
4	1	1	2	3	0	463	3053	2165	111	-1	
5	1	1	2	3	1	463	3064	61	69	91.458549	亲
5	1	1	2	3	2	531	3063	146	70	47.696079	成
5	1	1	2	3	3	632	3058	48	84	85.717926	嫌
5	1	1	2	3	4	1017	3056	113	108	38.509010	cho[
5	1	1	2	3	5	1157	3056	98	108	71.835709	fia]
5	1	1	2	3	6	1514	3059	285	71	25.792320	xianLeian
5	1	1	2	3	7	1812	3059	27	71	72.072495	|
5	1	1	2	3	8	2070	3053	64	85	75.271042	43
5	1	1	2	3	9	2162	3059	106	74	75.271042	yao
5	1	1	2	3	10	2348	3061	98	95	82.715675	ho:
5	1	1	2	3	11	2479	3059	42	68	92.521164	洽
5	1	1	2	3	12	2533	3058	95	74	84.528740	qia
4	1	1	2	4	0	458	3243	1900	106	-1	
5	1	1	2	4	1	458	3252	144	71	53.099247	32
5	1	1	2	4	2	608	3252	68	70	46.069649	Bt
5	1	1	2	4	3	1018	3249	113	100	25.240166	chel
5	1	1	2	4	4	1158	3259	54	51	67.694412	fa
5	1	1	2	4	5	1243	3249	9	71	86.633865	|
5	1	1	2	4	6	1515	3248	112	60	30.303299	han
5	1	1	2	4	7	1671	3243	81	80	83.828201	xan
5	1	1	2	4	8	1784	3248	24	71	78.125542	|
5	1	1	2	4	9	2077	3246	92	100	79.844620	he*
5	1	1	2	4	10	2184	3248	67	69	61.482292	Fe
5	1	1	2	4	11	2282	3246	76	61	92.851624	an
4	1	1	2	5	0	460	3430	1895	107	-1	
5	1	1	2	5	1	460	3441	68	68	65.307747	&
5	1	1	2	5	2	1018	3437	194	100	46.815018	halfe
5	1	1	2	5	3	1232	3436	19	72	65.918221	]
5	1	1	2	5	4	1516	3430	125	86	42.405403	hailL
5	1	1	2	5	5	1655	3430	73	86	84.482643	xai
5	1	1	2	5	6	1748	3436	22	71	78.045578	]
5	1	1	2	5	7	2073	3437	96	97	90.641953	ché
5	1	1	2	5	8	2187	3437	69	68	57.389679	#4
5	1	1	2	5	9	2284	3439	71	56	73.768166	ke
4	1	1	2	6	0	461	3622	1330	107	-1	
5	1	1	2	6	1	461	3624	145	94	0.000000	FRE
5	1	1	2	6	2	621	3624	56	94	31.756111	AS
5	1	1	2	6	3	1019	3622	112	107	47.498547	‘hal
5	1	1	2	6	4	1157	3626	64	71	47.498547	fia
5	1	1	2	6	5	1237	3626	24	71	78.344971	|
5	1	1	2	6	6	1516	3624	275	82	59.203068	xingLei
3	1	1	3	0	0	2664	4314	100	54	-1	
4	1	1	3	1	0	2664	4314	100	54	-1	
5	1	1	3	1	1	2664	4314	100	54	96.286888	501
