level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	409	525	2444	3874	-1	
3	1	1	1	0	0	409	525	2444	3874	-1	
4	1	1	1	1	0	448	525	2267	232	-1	
5	1	1	1	1	1	448	583	141	69	95.545090	笔画
5	1	1	1	1	2	711	532	143	70	95.944183	汉字
5	1	1	1	1	3	913	525	38	100	95.378082	|
5	1	1	1	1	4	992	532	142	70	87.643105	拼音
5	1	1	1	1	5	1238	532	421	72	21.223824	eye
5	1	1	1	1	6	1872	525	136	232	16.679695	eae
5	1	1	1	1	7	2046	525	20	232	66.854446	|
5	1	1	1	1	8	2142	525	136	232	43.722992	ae
5	1	1	1	1	9	2421	531	70	72	37.984138	f
5	1	1	1	1	10	2648	545	67	56	65.750153	iF
4	1	1	1	2	0	1870	659	333	71	-1	
5	1	1	1	2	1	1870	659	145	71	84.970558	音标
5	1	1	1	2	2	2045	655	42	98	64.202049	|
5	1	1	1	2	3	2135	659	68	70	90.702271	字
4	1	1	1	3	0	409	755	2441	159	-1	
5	1	1	1	3	1	409	751	258	209	37.479191	P|
5	1	1	1	3	2	753	751	88	209	35.835274	me
5	1	1	1	3	3	927	751	40	209	72.957420	|
5	1	1	1	3	4	1014	751	106	209	26.860352	vt
5	1	1	1	3	5	1171	751	210	209	0.000000	[oem
5	1	1	1	3	6	1450	751	471	209	25.604805	ele]
5	1	1	1	3	7	2042	757	157	157	29.989876	fm
5	1	1	1	3	8	2281	756	563	158	9.108871	|
4	1	1	1	4	0	410	915	2441	159	-1	
5	1	1	1	4	1	410	915	2441	159	22.013466	ae
4	1	1	1	5	0	410	1076	2441	285	-1	
5	1	1	1	5	1	410	1076	221	284	57.163155	四
5	1	1	1	5	2	701	1076	229	284	63.911613	加
5	1	1	1	5	3	964	1076	229	284	61.809849	加
5	1	1	1	5	4	1227	1076	195	284	38.670002	加
5	1	1	1	5	5	1425	1076	1426	285	10.623642	[中
5	1	1	1	5	6	2148	948	297	526	0.000000	口
5	1	1	1	5	7	2444	948	395	526	17.790848	国生
4	1	1	1	6	0	410	1363	2442	161	-1	
5	1	1	1	6	1	406	1359	249	213	38.352592	|_|
5	1	1	1	6	2	690	1359	142	213	13.420700	ere
5	1	1	1	6	3	925	1359	41	213	82.719826	|
5	1	1	1	6	4	991	1359	143	213	50.528328	cena
5	1	1	1	6	5	1191	1359	28	213	93.329567	|
5	1	1	1	6	6	1240	1359	143	213	49.931084	ame
5	1	1	1	6	7	1417	1359	139	213	37.322250	|]
5	1	1	1	6	8	1648	1364	45	159	3.352493	|
5	1	1	1	6	9	1772	1365	55	159	0.000000	|
5	1	1	1	6	10	1897	1359	125	213	51.633781	con
5	1	1	1	6	11	2056	1359	54	213	56.412933	|
5	1	1	1	6	12	2110	1365	120	159	40.294746	本
5	1	1	1	6	13	2229	1359	134	213	43.704140	|
4	1	1	1	7	0	410	1526	2442	162	-1	
5	1	1	1	7	1	406	1522	249	213	54.157444	|_|
5	1	1	1	7	2	672	1522	178	213	21.312683	seca
5	1	1	1	7	3	920	1522	37	213	62.158947	|
5	1	1	1	7	4	1009	1522	125	213	55.427990	230
5	1	1	1	7	5	1187	1522	178	213	0.000000	fama
5	1	1	1	7	6	1417	1522	161	213	43.029522	|e]
5	1	1	1	7	7	1630	1522	214	213	18.718185	eam]
5	1	1	1	7	8	1879	1522	107	213	60.704975	se
5	1	1	1	7	9	2056	1522	143	213	50.920849	|e
5	1	1	1	7	10	2283	1528	569	160	63.175869	|
4	1	1	1	8	0	411	1689	2441	161	-1	
5	1	1	1	8	1	407	1685	245	210	25.777138	|_|
5	1	1	1	8	2	687	1685	193	210	39.899071	tise
5	1	1	1	8	3	932	1685	18	210	37.900299	|
5	1	1	1	8	4	1002	1685	123	210	37.900299	com
5	1	1	1	8	5	1177	1685	175	210	49.100491	[ara
5	1	1	1	8	6	1422	1685	158	210	39.989201	[ae]
5	1	1	1	8	7	1597	1685	88	210	37.327354	ae
5	1	1	1	8	8	1807	1685	210	210	33.564087	eho?
5	1	1	1	8	9	2052	1685	18	210	75.505676	|
5	1	1	1	8	10	2104	1685	141	210	36.006744	ae
5	1	1	1	8	11	2297	1691	555	159	37.142906	|
4	1	1	1	9	0	411	1850	2442	162	-1	
5	1	1	1	9	1	411	1850	221	159	59.789146	|
5	1	1	1	9	2	899	1851	31	159	74.926178	|
5	1	1	1	9	3	1022	1846	124	211	39.075195	us
5	1	1	1	9	4	1180	1846	36	211	69.415047	|
5	1	1	1	9	5	1250	1846	195	211	4.901260	za]
5	1	1	1	9	6	1479	1851	36	158	35.990654	A
5	1	1	1	9	7	1549	1846	124	211	35.990654	fae
5	1	1	1	9	8	1690	1846	142	211	14.716759	|e]
5	1	1	1	9	9	1866	1846	142	211	50.698856	tis
5	1	1	1	9	10	2042	1846	36	211	76.119881	|
5	1	1	1	9	11	2112	1846	89	211	12.162994	me
5	1	1	1	9	12	2270	1846	19	211	58.575508	|
5	1	1	1	9	13	2341	1846	511	211	37.692303	tic
4	1	1	1	10	0	411	2013	2442	161	-1	
5	1	1	1	10	1	411	2013	191	160	6.367050	一
5	1	1	1	10	2	636	2013	2217	161	10.791916	|]
5	1	1	1	10	3	2128	1939	72	283	19.497368	a
5	1	1	1	10	4	2293	1939	567	283	44.776344	|
4	1	1	1	11	0	411	2176	2442	160	-1	
5	1	1	1	11	1	411	2104	535	281	22.610100	[cael
5	1	1	1	11	2	1015	2104	95	281	25.164612	ee
5	1	1	1	11	3	1179	2104	235	281	19.995125	[war
5	1	1	1	11	4	1507	2176	321	159	30.306458	la]
5	1	1	1	11	5	1905	2104	95	281	27.799744	ow
5	1	1	1	11	6	2069	2104	118	281	41.616508	[a
5	1	1	1	11	7	2280	2104	563	281	23.787888	[ic
4	1	1	1	12	0	411	2336	2442	162	-1	
5	1	1	1	12	1	411	2265	438	279	23.323112	[sc
5	1	1	1	12	2	941	2265	234	279	39.306469	[vere
5	1	1	1	12	3	1290	2337	764	160	0.000000	een)
5	1	1	1	12	4	2127	2339	722	159	36.135208	ef
4	1	1	1	13	0	411	2498	2442	303	-1	
5	1	1	1	13	1	411	2498	2442	303	18.587082	ffl
5	1	1	1	13	2	1715	2366	505	604	20.145836	fe
5	1	1	1	13	3	2319	2366	504	604	38.913734	arm
4	1	1	1	14	0	411	2800	2442	162	-1	
5	1	1	1	14	1	407	2731	143	285	0.000000	fm
5	1	1	1	14	2	620	2731	239	285	0.000000	faon
5	1	1	1	14	3	929	2731	25	285	36.985973	|
5	1	1	1	14	4	1024	2731	96	285	64.515076	ve
5	1	1	1	14	5	1190	2731	262	285	0.591751	[wal
5	1	1	1	14	6	1475	2731	405	285	0.000000	elefel
5	1	1	1	14	7	1927	2731	262	285	25.390236	ele
5	1	1	1	14	8	2284	2804	569	158	39.332638	|
4	1	1	1	15	0	411	2962	2442	161	-1	
5	1	1	1	15	1	411	2958	260	211	38.053722	P|
5	1	1	1	15	2	741	2958	88	211	22.479576	me
5	1	1	1	15	3	899	2958	212	211	34.991356	|e
5	1	1	1	15	4	1215	2958	195	211	38.304977	te
5	1	1	1	15	5	1514	2958	195	211	21.876289	fam)
5	1	1	1	15	6	1743	2958	89	211	37.485962	at)
5	1	1	1	15	7	1883	2958	142	211	43.965992	sees
5	1	1	1	15	8	2042	2958	177	211	45.670784	|e
5	1	1	1	15	9	2284	2966	568	157	42.656349	|
4	1	1	1	16	0	411	3122	2442	162	-1	
5	1	1	1	16	1	411	3122	2442	162	55.300629	和
5	1	1	1	16	2	1145	3118	133	211	41.601730	|
5	1	1	1	16	3	1396	3118	66	211	39.143738	|
5	1	1	1	16	4	1593	3118	252	211	39.143738	|
5	1	1	1	16	5	1844	3118	199	211	62.971931	四
5	1	1	1	16	6	2042	3118	80	211	74.674377	|
5	1	1	1	16	7	2121	3118	120	211	27.687561	本
5	1	1	1	16	8	2240	3118	119	211	6.591156	|
4	1	1	1	17	0	411	3283	2442	162	-1	
5	1	1	1	17	1	411	3283	222	157	60.647282	|
5	1	1	1	17	2	881	3283	50	158	70.341797	|
5	1	1	1	17	3	987	3279	159	211	1.976440	etic
5	1	1	1	17	4	1180	3279	36	211	84.584984	|
5	1	1	1	17	5	1250	3279	125	211	48.363419	mn
5	1	1	1	17	6	1409	3279	36	211	67.309166	|
5	1	1	1	17	7	1479	3279	54	211	34.165298	te
5	1	1	1	17	8	1549	3279	146	211	34.165298	||
5	1	1	1	17	9	1743	3279	89	211	56.657505	am)
5	1	1	1	17	10	1866	3279	212	211	16.621559	stsmo]
5	1	1	1	17	11	2112	3279	89	211	37.102783	ee
5	1	1	1	17	12	2284	3287	568	158	57.843094	|
4	1	1	1	18	0	411	3444	2442	161	-1	
5	1	1	1	18	1	411	3440	994	210	29.727585	ee
5	1	1	1	18	2	1912	3440	945	210	44.146111	eee
4	1	1	1	19	0	411	3604	2442	161	-1	
5	1	1	1	19	1	411	3600	259	210	29.894058	P|
5	1	1	1	19	2	761	3604	106	157	53.525078	多
5	1	1	1	19	3	918	3600	54	210	81.736298	|
5	1	1	1	19	4	1019	3600	106	210	36.019585	amt
5	1	1	1	19	5	1194	3600	333	210	15.545952	[mela
5	1	1	1	19	6	1597	3600	105	210	37.231239	we)
5	1	1	1	19	7	1737	3606	53	157	43.335297	a
5	1	1	1	19	8	1877	3600	123	210	25.145241	ser
5	1	1	1	19	9	2052	3600	18	210	54.519035	|
5	1	1	1	19	10	2104	3600	123	210	44.259487	ae
5	1	1	1	19	11	2284	3608	569	157	45.067486	|
4	1	1	1	20	0	411	3764	2442	161	-1	
5	1	1	1	20	1	411	3765	221	156	62.577103	|
5	1	1	1	20	2	899	3764	32	157	48.586845	|
5	1	1	1	20	3	1004	3760	124	211	48.586845	wen
5	1	1	1	20	4	1180	3760	19	211	85.486694	|
5	1	1	1	20	5	1250	3760	125	211	24.436211	sett
5	1	1	1	20	6	1426	3760	142	211	21.430138	||
5	1	1	1	20	7	1637	3766	192	157	43.958122	|)
5	1	1	1	20	8	1901	3760	107	211	28.322380	wom
5	1	1	1	20	9	2059	3760	19	211	71.852242	|
5	1	1	1	20	10	2058	3768	795	157	32.929558	|
4	1	1	1	21	0	411	3925	2442	162	-1	
5	1	1	1	21	1	411	3921	259	210	20.858711	||
5	1	1	1	21	2	809	3925	122	156	0.000000	|
5	1	1	1	21	3	997	3921	159	210	67.759712	kang
5	1	1	1	21	4	1194	3921	176	210	58.752056	[aim
5	1	1	1	21	5	1422	3921	18	210	55.571968	|
5	1	1	1	21	6	1474	3921	106	210	55.571968	ae]
5	1	1	1	21	7	1614	3921	88	210	23.092278	at)
5	1	1	1	21	8	1772	3927	57	156	20.808273	|
5	1	1	1	21	9	1890	3921	132	210	32.089554	me
5	1	1	1	21	10	2060	3921	106	210	55.974583	|
5	1	1	1	21	11	2165	3928	115	156	48.818050	抗
5	1	1	1	21	12	2283	3921	80	210	54.007050	|
4	1	1	1	22	0	411	4085	2442	159	-1	
5	1	1	1	22	1	411	4081	274	208	8.194473	P|
5	1	1	1	22	2	822	4085	109	155	53.224167	|
5	1	1	1	22	3	996	4081	139	208	59.350925	ven
5	1	1	1	22	4	1186	4081	331	208	0.000000	fener
5	1	1	1	22	5	1550	4081	279	208	17.266449	fa]
5	1	1	1	22	6	1897	4081	122	208	40.553635	ee
5	1	1	1	22	7	2053	4081	157	208	36.889542	[ae
5	1	1	1	22	8	2284	4088	567	156	62.854980	|
4	1	1	1	23	0	1677	4345	1122	54	-1	
5	1	1	1	23	1	1677	4345	2	2	0.000000	,
5	1	1	1	23	2	2689	4346	110	53	96.771881	315
