level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3177	4576	-1	
2	1	1	0	0	0	363	486	2468	3869	-1	
3	1	1	1	0	0	402	484	2267	225	-1	
4	1	1	1	1	0	402	486	2267	223	-1	
5	1	1	1	1	1	402	548	139	69	82.371773	笔画
5	1	1	1	1	2	663	496	144	69	94.550270	汉字
5	1	1	1	1	3	871	489	32	100	94.550270	|
5	1	1	1	1	4	945	495	143	70	91.229240	拼音
5	1	1	1	1	5	1191	490	557	72	0.000000	RARE)
5	1	1	1	1	6	1900	486	106	223	41.782742	|
5	1	1	1	1	7	2375	486	294	72	47.301098	gE
4	1	1	1	2	0	1823	614	333	71	-1	
5	1	1	1	2	1	1823	615	145	70	50.114189	音标
5	1	1	1	2	2	2088	614	68	69	73.506783	字
3	1	1	2	0	0	363	707	2468	3648	-1	
4	1	1	2	1	0	363	707	2443	169	-1	
5	1	1	2	1	1	363	719	221	157	58.954983	|
5	1	1	2	1	2	842	717	42	158	50.565910	|
5	1	1	2	1	3	950	703	144	215	50.565910	ing
5	1	1	2	1	4	1129	703	198	215	42.094383	[seat
5	1	1	2	1	5	1377	703	270	215	28.626389	||]
5	1	1	2	1	6	1702	703	91	215	8.422226	ae]
5	1	1	2	1	7	1864	703	90	215	42.013622	oo
5	1	1	2	1	8	1989	703	37	215	71.384171	|
5	1	1	2	1	9	2061	703	90	215	30.043404	ae
5	1	1	2	1	10	2236	707	560	160	36.856163	|
4	1	1	2	2	0	364	867	2443	168	-1	
5	1	1	2	2	1	364	875	699	160	0.342926	me
5	1	1	2	2	2	1137	795	728	301	27.948563	[ana]
5	1	1	2	2	3	2015	795	151	301	37.689644	fae
5	1	1	2	2	4	2241	867	553	161	64.596069	|
4	1	1	2	3	0	365	1027	2443	168	-1	
5	1	1	2	3	1	365	1023	268	217	37.241196	rm]
5	1	1	2	3	2	704	1035	73	159	56.677414	x
5	1	1	2	3	3	862	1023	56	217	75.074188	|
5	1	1	2	3	4	975	1023	92	217	47.722733	we
5	1	1	2	3	5	1134	1023	123	217	84.874512	|
5	1	1	2	3	6	1256	1035	109	158	21.792618	次
5	1	1	2	3	7	1364	1023	82	217	87.572426	|
5	1	1	2	3	8	1446	1035	67	157	79.455429	入
5	1	1	2	3	9	1513	1023	56	217	82.335983	|
5	1	1	2	3	10	1568	1034	216	158	31.581161	由理
5	1	1	2	3	11	1825	1023	185	217	46.038479	ae
5	1	1	2	3	12	2042	1031	178	157	18.569481	由
5	1	1	2	3	13	2219	1023	95	217	61.074890	|
4	1	1	2	4	0	367	1187	2444	295	-1	
5	1	1	2	4	1	367	1060	414	557	22.359955	cle
5	1	1	2	4	2	873	1187	1938	295	0.000000	leeenmle
5	1	1	2	4	3	2219	1060	48	557	9.125282	|
4	1	1	2	5	0	368	1472	2443	171	-1	
5	1	1	2	5	1	368	1485	221	158	56.864620	|
5	1	1	2	5	2	635	1468	182	217	0.000000	arcm
5	1	1	2	5	3	870	1468	37	217	26.635162	|
5	1	1	2	5	4	960	1468	164	217	33.721466	9ang
5	1	1	2	5	5	1141	1468	164	217	57.083416	|e
5	1	1	2	5	6	1376	1468	140	217	40.700260	|]
5	1	1	2	5	7	1611	1478	42	158	46.089115	|
5	1	1	2	5	8	1702	1468	91	217	0.000000	st]
5	1	1	2	5	9	1810	1468	218	217	0.000000	eteon)
5	1	1	2	5	10	2081	1468	92	217	48.377388	ae
5	1	1	2	5	11	2244	1472	562	160	63.489784	|
4	1	1	2	6	0	369	1633	2444	172	-1	
5	1	1	2	6	1	369	1645	222	160	59.583076	|
5	1	1	2	6	2	746	1643	110	160	76.960541	空
5	1	1	2	6	3	882	1629	42	218	84.881058	|
5	1	1	2	6	4	946	1629	146	218	20.192474	ina
5	1	1	2	6	5	1146	1629	19	218	84.804527	|
5	1	1	2	6	6	1200	1629	146	218	35.963730	at
5	1	1	2	6	7	1382	1629	55	218	27.804146	|
5	1	1	2	6	8	1509	1640	8	159	61.571079	|
5	1	1	2	6	9	1600	1639	164	159	23.856102	|e
5	1	1	2	6	10	1800	1629	219	218	0.000000	oahu)
5	1	1	2	6	11	2090	1629	110	218	36.208649	ee
5	1	1	2	6	12	2236	1629	19	218	47.301922	|
4	1	1	2	7	0	370	1796	2444	171	-1	
5	1	1	2	7	1	370	1796	2444	171	37.292446	oe
4	1	1	2	8	0	372	1958	2443	171	-1	
5	1	1	2	8	1	372	1968	412	161	39.604321	fe
5	1	1	2	8	2	856	1954	55	217	44.298653	|
5	1	1	2	8	3	982	1966	74	160	15.538673	x
5	1	1	2	8	4	1145	1958	1670	171	0.000000	[walle]
5	1	1	2	8	5	1850	1954	309	217	44.466843	ets
5	1	1	2	8	6	2230	1954	580	217	55.232735	|
4	1	1	2	9	0	373	2118	2444	173	-1	
5	1	1	2	9	1	373	2114	345	220	9.181061	P|
5	1	1	2	9	2	891	2130	3	160	30.809090	|
5	1	1	2	9	3	960	2114	221	220	0.000000	96ng|
5	1	1	2	9	4	1235	2127	97	160	0.000000	去
5	1	1	2	9	5	1387	2127	69	159	42.374939	|
5	1	1	2	9	6	1455	2114	83	220	79.444595	平
5	1	1	2	9	7	1537	2114	42	220	80.345978	|
5	1	1	2	9	8	1579	2126	69	159	10.715858	于
5	1	1	2	9	9	1647	2114	70	220	33.442024	|
5	1	1	2	9	10	1716	2125	76	159	38.610245	要
5	1	1	2	9	11	1799	2114	275	220	2.102020	kebaq
5	1	1	2	9	12	2074	2122	138	160	64.324417	计
5	1	1	2	9	13	2211	2114	125	220	22.172440	|
4	1	1	2	10	0	374	2281	2444	172	-1	
5	1	1	2	10	1	374	2293	221	160	53.558353	|
5	1	1	2	10	2	791	2292	104	160	34.727524	|
5	1	1	2	10	3	993	2277	74	220	22.987473	we
5	1	1	2	10	4	1140	2277	202	220	13.106293	[rem
5	1	1	2	10	5	1378	2277	441	220	0.000000	fAfele|
5	1	1	2	10	6	1891	2285	276	161	34.922119	me
4	1	1	2	11	0	375	2444	2444	171	-1	
5	1	1	2	11	1	375	2455	403	160	37.262230	[a
5	1	1	2	11	2	879	2374	230	305	0.000000	Yove
5	1	1	2	11	3	1184	2374	230	305	5.010468	mae
5	1	1	2	11	4	1540	2374	128	305	49.819828	al
5	1	1	2	11	5	1768	2374	256	305	29.064667	ase
5	1	1	2	11	6	2023	2444	796	171	35.376671	[sa
4	1	1	2	12	0	376	2603	2444	174	-1	
5	1	1	2	12	1	376	2618	222	159	62.408325	|
5	1	1	2	12	2	846	2616	52	159	64.014740	|
5	1	1	2	12	3	956	2599	146	219	12.369766	arn
5	1	1	2	12	4	1156	2599	19	219	42.301792	|
5	1	1	2	12	5	1211	2599	147	219	28.617462	wae
5	1	1	2	12	6	1394	2599	110	219	22.097366	|e
5	1	1	2	12	7	1521	2599	147	219	22.097366	fae]
5	1	1	2	12	8	1704	2599	74	219	37.617470	se
5	1	1	2	12	9	1868	2599	165	219	31.970200	oun]
5	1	1	2	12	10	2087	2599	92	219	30.790573	ee
5	1	1	2	12	11	2251	2603	567	161	48.721130	|
4	1	1	2	13	0	378	2764	2443	175	-1	
5	1	1	2	13	1	378	2760	234	219	44.090393	||
5	1	1	2	13	2	647	2760	184	219	42.392265	acm
5	1	1	2	13	3	885	2760	37	219	51.940636	|
5	1	1	2	13	4	994	2775	74	160	47.877502	a
5	1	1	2	13	5	1158	2760	38	219	41.658855	|
5	1	1	2	13	6	1213	2760	202	219	41.658855	rar]
5	1	1	2	13	7	1450	2760	184	219	25.651031	Alm
