char	code	weight	source	note	old_code	status
鼎	deng2	1	ruianese.character_01.dict.yaml:274	already valid	deng2	ok
嘦	jyue4	1	ruianese.character_01.dict.yaml:275	already valid	jyue4	ok
冀	ji4	1	ruianese.character_01.dict.yaml:276	jii4->ji4	jii4	converted
豳	beng1	1	ruianese.character_01.dict.yaml:277	already valid	beng1	ok
入	zza7	1	ruianese.character_01.dict.yaml:280	already valid	zza7	ok
乂	nji8	1	ruianese.character_01.dict.yaml:281	nyii8->nji8	nyii8	converted
九	jiao2	1	ruianese.character_01.dict.yaml:282	already valid	jiao2	ok
匕	bei2	1	ruianese.character_01.dict.yaml:283	already valid	bei2	ok
乃	na6	1	ruianese.character_01.dict.yaml:284	already valid	na6	ok
迺	na6	1	ruianese.character_01.dict.yaml:285	already valid	na6	ok
廼	na6	1	ruianese.character_01.dict.yaml:286	already valid	na6	ok
千	qie1	1	ruianese.character_01.dict.yaml:287	already valid	qie1	ok
韆	qie1	1	ruianese.character_01.dict.yaml:288	already valid	qie1	ok
乞	qi3	1	ruianese.character_01.dict.yaml:289	qii3->qi3	qii3	converted
川	qju1	1	ruianese.character_01.dict.yaml:290	no valid mapping; tried qju1	qju1	unresolved
凡	vo5	1	ruianese.character_01.dict.yaml:291	already valid	vo5	ok
凢	vo5	1	ruianese.character_01.dict.yaml:292	already valid	vo5	ok
凣	vo5	1	ruianese.character_01.dict.yaml:293	already valid	vo5	ok
義	nji8	1	ruianese.character_01.dict.yaml:294	nyii8->nji8	nyii8	converted
麽	mo5	1	ruianese.character_01.dict.yaml:295	already valid	mo5	ok
麼	mo5	1	ruianese.character_01.dict.yaml:296	already valid	mo5	ok
庅	mo5	1	ruianese.character_01.dict.yaml:297	already valid	mo5	ok
久	jiao2	1	ruianese.character_01.dict.yaml:298	already valid	jiao2	ok
丸	xyu5	1	ruianese.character_01.dict.yaml:299	xyju5->xyu5	xyju5	converted
及	jjia7	1	ruianese.character_01.dict.yaml:300	already valid	jjia7	ok
午	ngvu6	1	ruianese.character_01.dict.yaml:302	no valid mapping; tried ngvu6	ngvu6	unresolved
壬	nyang5	1	ruianese.character_01.dict.yaml:303	no valid mapping; tried nyang5, njang5	nyang5	unresolved
